daily_scale,weekly_scale,yearly_scale,regressor_scale,daily_order,weekly_order,yearly_order,1d_rmse,1d_mape,3d_rmse,3d_mape
10.0,10.0,7.0,10.0,5.0,5.0,3.0,1182.0213831016633,0.07964540757285427,1226.54013714632,0.08193940366632199
10.0,10.0,7.0,10.0,5.0,6.0,3.0,1186.2474014895686,0.07964629531089201,1235.7092171189654,0.08230670679912067
10.0,10.0,7.0,10.0,5.0,7.0,3.0,1186.5817486864812,0.07970325446056338,1235.4452979134173,0.08231643197471261
10.0,10.0,7.0,10.0,5.0,8.0,3.0,1184.8175242534755,0.07891685277661908,1229.7157212258667,0.08163211458675868
10.0,10.0,7.0,10.0,5.0,9.0,3.0,1188.0353064665533,0.0790632869846382,1230.348556058481,0.08151691477834565
10.0,10.0,7.0,10.0,5.0,10.0,3.0,1188.3503581919729,0.07899177599980779,1230.9051262394833,0.08155048768791781
10.0,10.0,10.0,10.0,5.0,5.0,3.0,1183.22601691964,0.07967397879937171,1227.7178039796993,0.08204497021492907
10.0,10.0,10.0,10.0,5.0,6.0,3.0,1186.0017137284767,0.0795861494545664,1235.5279787528875,0.08230798262301091
10.0,10.0,10.0,10.0,5.0,7.0,3.0,1185.4603682350328,0.07962078222482212,1234.6147020799942,0.08227062952304769
10.0,10.0,10.0,10.0,5.0,8.0,3.0,1184.6885168597953,0.07893481532064922,1230.0448165651414,0.08165404666456307
10.0,10.0,10.0,10.0,5.0,9.0,3.0,1188.3092229002132,0.07910533588013254,1229.8193344396561,0.08149095184958849
10.0,10.0,10.0,10.0,5.0,10.0,3.0,1188.694734702771,0.07905283815595593,1231.3341288410468,0.08158837941359538
