daily_scale,weekly_scale,yearly_scale,regressor_scale,daily_order,weekly_order,yearly_order,1d_rmse,1d_mape,3d_rmse,3d_mape
10.0,10.0,5.0,10.0,5.0,3.0,2.0,1217.634599986206,0.08273222677018555,1249.6742317411008,0.08371432367131791
10.0,10.0,5.0,10.0,5.0,3.0,3.0,1189.8389321562433,0.07948205489490938,1234.5330764289845,0.08209476213520842
10.0,10.0,5.0,10.0,6.0,3.0,2.0,1215.3787593045786,0.08257688558606291,1248.8230007831842,0.08368019951177375
10.0,10.0,5.0,10.0,6.0,3.0,3.0,1189.7015281973013,0.07951004314257953,1234.9538906500711,0.08211942916986686
10.0,10.0,5.0,10.0,7.0,3.0,2.0,1216.317541888092,0.08265723675461507,1249.6605467550155,0.08373431324853979
10.0,10.0,5.0,10.0,7.0,3.0,3.0,1189.9522612450057,0.07952280756923219,1234.9474037259058,0.08213733545677321
10.0,10.0,5.0,15.0,5.0,3.0,2.0,1218.61857726909,0.08281456331696349,1250.860459335656,0.08381871040969682
10.0,10.0,5.0,15.0,5.0,3.0,3.0,1191.1758693265788,0.07958696365202125,1235.9562848638498,0.08218168482602087
10.0,10.0,5.0,15.0,6.0,3.0,2.0,1218.8787475525285,0.08281020723781711,1251.308399827853,0.08386437250542245
10.0,10.0,5.0,15.0,6.0,3.0,3.0,1189.6317581377361,0.07951305344250821,1234.7795591655542,0.08212951892816933
10.0,10.0,5.0,15.0,7.0,3.0,2.0,1217.8242176581593,0.0827379990732994,1250.6605921978112,0.08375927596248176
10.0,10.0,5.0,15.0,7.0,3.0,3.0,1189.4121375662478,0.0794604070180487,1235.3146161128477,0.0821286798508433
