daily_order,weekly_order,daily_scale,weekly_scale,1d_rmse,1d_mape,3d_rmse,3d_mape,regressor_scale
2.0,2.0,10.0,10.0,1951.52407759209,0.13846687054215376,1872.3011898289526,0.13245231157622536,10.0
2.0,2.0,10.0,10.0,1951.569809915163,0.13847641416217227,1872.3474066594504,0.13245195492129688,30.0
2.0,3.0,10.0,10.0,1948.656636357539,0.13827931117209002,1869.1011628276594,0.13209408008544826,10.0
2.0,3.0,10.0,10.0,1948.205200464956,0.13825489134421617,1868.9607616367982,0.13208436214297103,30.0
3.0,2.0,10.0,10.0,1945.968976644138,0.138156438050547,1866.777865721747,0.13205823303950842,10.0
