daily_scale,weekly_scale,yearly_scale,regressor_scale,daily_order,weekly_order,yearly_order,1d_rmse,1d_mape,3d_rmse,3d_mape
10.0,10.0,5.0,10.0,3.0,3.0,3.0,1191.0224928698578,0.07964022025135699,1235.9494681883496,0.08220326301739209
10.0,10.0,5.0,10.0,3.0,3.0,4.0,1189.4724364132073,0.07947597021296894,1248.8467454520226,0.0830223214389998
10.0,10.0,5.0,10.0,3.0,3.0,5.0,1191.3983707010605,0.08012714147997645,1255.957690453878,0.08295964498462226
10.0,10.0,5.0,10.0,3.0,4.0,3.0,1187.9307380112173,0.07979915841443252,1234.299264498624,0.08226666351530613
10.0,10.0,5.0,10.0,3.0,4.0,4.0,1186.1286914934294,0.07966610174357282,1247.1775842394677,0.08307493462663589
10.0,10.0,5.0,10.0,3.0,4.0,5.0,1188.3376965253021,0.08021498040328992,1254.3798102936012,0.08287967389743481
10.0,10.0,5.0,10.0,4.0,3.0,3.0,1190.2884947433727,0.0796911845527783,1235.054243778186,0.08220741437114154
10.0,10.0,5.0,10.0,4.0,3.0,4.0,1189.397443244781,0.07954502260825738,1249.0988481654251,0.08306906571280986
10.0,10.0,5.0,10.0,4.0,3.0,5.0,1190.6032009587543,0.08019426616505863,1255.68738045152,0.08294159506793436
10.0,10.0,5.0,10.0,4.0,4.0,3.0,1186.8046026455406,0.079789539114426,1233.7245993645981,0.08221265570410208
10.0,10.0,5.0,10.0,4.0,4.0,4.0,1186.1990897485448,0.07972760543180726,1247.149837011393,0.0830532478267917
10.0,10.0,5.0,10.0,4.0,4.0,5.0,1187.2929723878458,0.08024413734489343,1254.0643785868235,0.08291283453055148
10.0,10.0,5.0,10.0,5.0,3.0,3.0,1189.8389321562433,0.07948205489490938,1234.5330764289845,0.08209476213520842
10.0,10.0,5.0,10.0,5.0,3.0,4.0,1190.228048144001,0.0794511657075533,1249.9125683894688,0.08306074686972313
10.0,10.0,5.0,10.0,5.0,3.0,5.0,1190.2977945830694,0.08008509989930597,1256.5408071304091,0.08298324544686798
10.0,10.0,5.0,10.0,5.0,4.0,3.0,1186.7997177048294,0.07959626618526752,1232.8113638678599,0.08211363075754236
10.0,10.0,5.0,10.0,5.0,4.0,4.0,1184.272715125788,0.07952716899201358,1245.7949544468377,0.08295844433526317
10.0,10.0,5.0,10.0,5.0,4.0,5.0,1187.9200605548626,0.08015314294387818,1254.407873782229,0.08291401889059856
10.0,10.0,10.0,10.0,3.0,3.0,3.0,1191.4905664869966,0.07968617011335595,1236.1171915743255,0.08221770568395607
10.0,10.0,10.0,10.0,3.0,3.0,4.0,1190.1704273466687,0.07954080854379099,1249.1747489838665,0.08305244436371602
10.0,10.0,10.0,10.0,3.0,3.0,5.0,1191.6826520412078,0.08013957607363496,1256.5282500067499,0.0829889841328449
10.0,10.0,10.0,10.0,3.0,4.0,3.0,1188.1324696894903,0.07978919120960315,1234.1986580520877,0.08225899956817005
10.0,10.0,10.0,10.0,3.0,4.0,4.0,1186.5722951763037,0.0797210074695504,1247.538774638648,0.08306821669928911
10.0,10.0,10.0,10.0,3.0,4.0,5.0,1188.7844207582973,0.08027649680508604,1255.6060649075848,0.08297256877628433
10.0,10.0,10.0,10.0,4.0,3.0,3.0,1190.5893762827118,0.07970821857824556,1235.2147667902532,0.08220539289759567
10.0,10.0,10.0,10.0,4.0,3.0,4.0,1189.7889149345115,0.07955628708625476,1249.4103785044185,0.08306371690334688
10.0,10.0,10.0,10.0,4.0,3.0,5.0,1190.9308243191283,0.08021911278550937,1255.8515695065869,0.08297900123892067
10.0,10.0,10.0,10.0,4.0,4.0,3.0,1187.8590293378925,0.07981029817049039,1233.766752281011,0.08220207857394482
10.0,10.0,10.0,10.0,4.0,4.0,4.0,1185.8305156857707,0.0797126620523665,1246.8361011504494,0.0830457373379343
10.0,10.0,10.0,10.0,4.0,4.0,5.0,1188.6205024720196,0.0803121509436578,1254.6111843921292,0.08294788736513985
10.0,10.0,10.0,10.0,5.0,3.0,3.0,1189.6847593932935,0.07950229471948973,1234.902094359459,0.08212345609219314
10.0,10.0,10.0,10.0,5.0,3.0,4.0,1188.7584641025744,0.07940748885761387,1248.3002013981327,0.08297706610397398
10.0,10.0,10.0,10.0,5.0,3.0,5.0,1191.0149048831472,0.0801078600995366,1255.551182887969,0.08289799072116992
10.0,10.0,10.0,10.0,5.0,4.0,3.0,1186.1842792611867,0.07954421114666496,1232.3651332765442,0.08210778769462278
10.0,10.0,10.0,10.0,5.0,4.0,4.0,1185.1189755728594,0.07957091738680323,1245.9606759136127,0.0829543004977642
10.0,10.0,10.0,10.0,5.0,4.0,5.0,1186.752686364271,0.08010548506076558,1253.010212639563,0.08286613810059529
