,daily_order,weekly_order,yearly_order,daily_scale,weekly_scale,yearly_scale,1d_rmse,1d_mape,3d_rmse,3d_mape
0,3.0,3.0,3.0,10.0,10.0,1.0,1190.9610119774827,0.07978042257533707,1279.228370803159,0.08411959451173152
1,3.0,3.0,4.0,10.0,10.0,1.0,1190.9610119774827,0.07978042257533707,1279.228370803159,0.08411959451173152
2,3.0,4.0,3.0,10.0,10.0,1.0,1190.9610119774827,0.07978042257533707,1279.228370803159,0.08411959451173152
3,3.0,4.0,4.0,10.0,10.0,1.0,1190.9610119774827,0.07978042257533707,1279.228370803159,0.08411959451173152
4,3.0,5.0,3.0,10.0,10.0,1.0,1190.9610119774827,0.07978042257533707,1279.228370803159,0.08411959451173152
5,3.0,5.0,4.0,10.0,10.0,1.0,1190.9610119774827,0.07978042257533707,1279.228370803159,0.08411959451173152
6,4.0,3.0,3.0,10.0,10.0,1.0,1190.9610119774827,0.07978042257533707,1279.228370803159,0.08411959451173152
7,4.0,3.0,4.0,10.0,10.0,1.0,1190.9610119774827,0.07978042257533707,1279.228370803159,0.08411959451173152
8,4.0,4.0,3.0,10.0,10.0,1.0,1190.9610119774827,0.07978042257533707,1279.228370803159,0.08411959451173152
9,4.0,4.0,4.0,10.0,10.0,1.0,1190.9610119774827,0.07978042257533707,1279.228370803159,0.08411959451173152
10,4.0,5.0,3.0,10.0,10.0,1.0,1190.9610119774827,0.07978042257533707,1279.228370803159,0.08411959451173152
11,4.0,5.0,4.0,10.0,10.0,1.0,1190.9610119774827,0.07978042257533707,1279.228370803159,0.08411959451173152
12,5.0,3.0,3.0,10.0,10.0,1.0,1190.9610119774827,0.07978042257533707,1279.228370803159,0.08411959451173152
13,5.0,3.0,4.0,10.0,10.0,1.0,1190.9610119774827,0.07978042257533707,1279.228370803159,0.08411959451173152
14,5.0,4.0,3.0,10.0,10.0,1.0,1190.9610119774827,0.07978042257533707,1279.228370803159,0.08411959451173152
15,5.0,4.0,4.0,10.0,10.0,1.0,1190.9610119774827,0.07978042257533707,1279.228370803159,0.08411959451173152
16,5.0,5.0,3.0,10.0,10.0,1.0,1190.9610119774827,0.07978042257533707,1279.228370803159,0.08411959451173152
17,5.0,5.0,4.0,10.0,10.0,1.0,1190.9610119774827,0.07978042257533707,1279.228370803159,0.08411959451173152
